date,so2_max_du,so2_mean_du,so2_15_du
2021-07-28,5.33942,0.973013,0.147364
2021-07-29,2.58942,0.702041,0.184829
2021-07-30,5.59331,0.873562,0.27798
2021-07-31,4.07751,0.861698,0.472144
2021-08-01,5.14756,1.01613,0.75257
2021-08-02,3.6012,1.12199,0.458979
2021-08-03,2.87522,0.754439,0.20308
2021-08-04,5.49338,0.847752,0.317391
2021-08-05,9.43163,4.7985,0.45597
2021-08-06,7.29847,0.897583,0.265106
2021-08-07,3.22092,0.691329,0.184972
2021-08-08,2.05233,0.363982,0.0793939
2021-08-09,3.65849,0.787081,0.181425
2021-08-10,3.28567,0.58827,0.10218
2021-08-11,9.10016,1.15976,0.382384
2021-08-12,4.90598,1.45766,0.387479
2021-08-13,1.24938,1.24938,-0.00514582
2021-08-14,3.51036,1.14643,0.204402
2021-08-15,1.82966,0.178862,0.11814
2021-08-16,3.67211,0.475932,0.0911019
2021-08-17,6.07566,1.2137,0.384937
2021-08-18,3.68651,1.18616,0.284312
2021-08-19,3.0691,1.22481,0.200199
2021-08-22,0.616694,-0.207828,-0.00853704
2021-08-23,4.72489,1.04332,0.297182
2021-08-24,2.77075,1.10126,0.164434
2021-08-25,2.77638,0.505617,0.144113
2021-08-26,4.97348,0.918806,0.249045
2021-08-27,7.31407,1.01777,0.354997
2021-08-28,4.05104,1.02115,0.276303
2021-08-29,2.57833,1.17123,0.0832958
2021-08-30,1.54479,1.11521,0.191328
2021-08-31,3.36073,0.574613,0.183088
2021-09-01,2.04317,0.738018,0.158297
2021-09-02,4.48998,1.09116,0.355559
2021-09-03,3.0174,1.15882,0.29283
2021-09-04,3.63095,1.00763,0.12698
2021-09-05,2.77262,0.228103,0.11426
2021-09-06,1.06581,-0.293693,0.143225
2021-09-07,0.900219,-0.26966,0.115459
2021-09-08,7.22771,1.32879,0.353485
2021-09-09,3.44801,0.822433,0.173126
2021-09-10,5.84027,1.55341,0.369262
2021-09-11,5.06196,0.143997,0.108747
2021-09-12,2.32072,1.38909,0.233756
2021-09-15,5.90033,1.1838,0.183008
2021-09-16,4.18754,0.418311,0.114506
2021-09-17,5.46856,0.578651,0.146641
2021-09-18,5.66695,1.19125,0.349738
2021-09-19,2.19661,0.581676,0.152184
2021-09-20,4.14872,1.47553,0.239422
2021-09-21,3.65441,0.769235,0.220982
2021-09-22,3.8869,0.562219,0.132069
2021-09-23,1.85631,0.469834,0.13736
2021-09-24,2.37975,0.864599,0.220757
2021-09-25,3.17641,0.664842,0.0943365
2021-09-26,0.271255,0.271255,0.00456657
2021-09-27,2.45349,0.133195,0.0407476
2021-09-28,1.22287,0.0284906,0.12441
2021-09-29,3.13022,0.890194,0.320786
2021-09-30,2.90691,0.748158,0.252565
2021-10-02,3.1842,0.570723,0.128915
2021-10-03,2.40509,0.370889,0.133931
2021-10-04,1.35226,0.307095,0.12772
2021-10-05,1.32193,0.325035,0.0623952
2021-10-06,2.94484,0.577598,0.119217
2021-10-07,1.08781,0.0313946,0.0336072
2021-10-08,0.956235,0.0675193,0.0416542
2021-10-09,5.75187,1.22566,0.481249
2021-10-10,3.93315,1.28094,0.272133
2021-10-11,0.677401,0.167169,0.121967
2021-10-12,1.39823,0.209392,0.0594064
2021-10-13,6.82501,1.745,0.456069
2021-10-14,5.28567,0.946267,0.297169
2021-10-15,3.59697,1.13679,0.290572
2021-10-16,3.46616,0.917448,0.229461
2021-10-17,2.24614,0.783341,0.129688
2021-10-18,3.23757,0.520402,0.152087
2021-10-19,1.21825,0.0586773,0.0277522
2021-10-20,1.44988,0.268395,0.0950633
2021-10-21,1.50058,0.499173,0.116415
2021-10-23,2.7134,1.17973,0.202383
2021-10-24,3.70804,0.536198,0.155958
2021-10-25,1.46973,0.379251,0.12283
2021-10-26,1.40559,0.390482,0.139506
2021-10-29,1.40824,0.235752,0.0756768
2021-10-30,2.44004,0.421007,0.138139
2021-10-31,0.7911,0.10974,0.0973642
2021-11-03,2.18309,0.128353,0.081362
2021-11-04,0.536454,-0.0810117,-0.0404161
2021-11-06,1.45572,0.335533,0.0211484
2021-11-08,1.7699,-0.305825,-0.0576228
2021-11-09,1.14367,0.0873104,0.113014
2021-11-10,0.673,0.136743,0.0729666
2021-11-13,0.835719,-0.197838,0.0176273
2021-11-14,0.959943,-0.103835,-0.0162331
2021-11-16,0.873215,0.171594,0.0890591
2021-11-17,1.26808,0.152331,0.0987612
2021-11-20,1.23267,0.0309576,0.0729218
2021-11-21,0.442821,0.141925,0.0664851
2021-11-24,2.11144,2.11144,0.0773991
2021-11-25,0.609191,-0.00483107,0.00652333
2021-11-26,0.62176,0.0908878,0.0568577
2021-11-28,0.441289,0.23504,0.107666
2021-11-29,0.452273,-0.265159,0.0459821
2021-11-30,1.57912,1.39785,0.0759187
2021-12-01,0.462234,-0.106195,-0.0153869
2021-12-02,0.728012,0.0831324,0.0506806
2021-12-03,1.36844,0.172276,0.0429032
2021-12-05,1.09126,0.50333,0.0947248
2021-12-06,0.270077,0.270077,-0.0270699
2021-12-08,1.11337,0.354298,0.11142
2021-12-09,2.45826,0.414903,0.0758847
2021-12-10,1.37547,-0.306351,-0.0726606
2021-12-11,0.881652,-0.170089,-0.0351523
2021-12-12,0.529881,0.0281067,-0.00899332
