latitude,longitude,frp,bright_ti4,ts
-6.10612,105.43332,1.61,309.34,2026-09-06 00:52
-6.10671,105.37578,0.66,299.16,2026-09-06 00:52
-6.09815,105.38661,1.0,316.24,2026-09-06 00:52
-6.10765,105.3813,1.16,303.23,2026-09-06 00:52
-6.10221,105.37991,0.66,304.48,2026-09-06 00:52
-6.0977,105.38394,1.0,308.86,2026-09-06 00:52
-6.09358,105.42062,1.35,316.32,2026-09-06 00:52
-6.09604,105.40465,1.6,308.99,2026-09-06 00:52
-6.08647,105.4094,1.22,306.55,2026-09-06 00:52
-6.08697,105.41233,1.22,306.25,2026-09-06 00:52
-6.08748,105.41527,1.44,306.51,2026-09-06 00:52
-6.08798,105.41821,1.44,304.74,2026-09-06 00:52
-6.08848,105.42113,1.35,304.79,2026-09-06 00:52
-6.08867,105.392,1.0,298.3,2026-09-06 00:52
-6.08899,105.42406,1.35,308.75,2026-09-06 00:52
-6.08949,105.427,1.36,303.56,2026-09-06 00:52
-6.0915,105.40849,1.22,312.14,2026-09-06 00:52
-6.09201,105.41143,1.22,316.19,2026-09-06 00:52
-6.09251,105.41437,1.44,317.61,2026-09-06 00:52
-6.09269,105.38507,1.0,299.13,2026-09-06 00:52
-6.09306,105.41759,1.44,316.79,2026-09-06 00:52
-6.09317,105.3879,1.0,306.02,2026-09-06 00:52
-6.10815,105.38425,1.16,305.23,2026-09-06 00:52
-6.09365,105.39069,1.63,312.18,2026-09-06 00:52
-6.09409,105.42358,1.35,315.95,2026-09-06 00:52
-6.09455,105.39595,1.75,308.68,2026-09-06 00:52
-6.09457,105.42641,1.36,310.69,2026-09-06 00:52
-6.09505,105.39887,1.75,307.43,2026-09-06 00:52
-6.09506,105.42924,1.36,306.32,2026-09-06 00:52
-6.09554,105.4017,1.6,305.18,2026-09-06 00:52
-6.09555,105.43214,2.79,303.43,2026-09-06 00:52
-6.09681,105.38538,1.04,310.05,2026-09-06 00:52
-6.10831,105.39153,1.33,307.62,2026-09-06 00:52
-6.09407,105.39316,1.63,309.12,2026-09-06 00:52
-6.10936,105.3974,1.53,319.36,2026-09-06 00:52
-6.10883,105.39446,1.33,313.42,2026-09-06 00:52
-6.11907,105.42287,1.31,304.36,2026-09-06 00:52
-6.11855,105.41994,1.31,306.41,2026-09-06 00:52
-6.11804,105.41702,1.97,309.29,2026-09-06 00:52
-6.11752,105.4141,1.97,311.71,2026-09-06 00:52
-6.117,105.41117,1.97,311.9,2026-09-06 00:52
-6.11648,105.40824,1.97,312.04,2026-09-06 00:52
-6.11596,105.40531,1.76,310.03,2026-09-06 00:52
-6.11544,105.40237,1.76,309.83,2026-09-06 00:52
-6.11508,105.42961,1.5,305.62,2026-09-06 00:52
-6.11492,105.39944,1.53,309.16,2026-09-06 00:52
-6.11456,105.42669,1.5,309.02,2026-09-06 00:52
-6.11439,105.39651,1.53,307.19,2026-09-06 00:52
-6.11405,105.42378,1.31,313.45,2026-09-06 00:52
-6.11564,105.42833,2.01,305.92,2026-09-06 00:52
-6.11353,105.42085,1.31,319.88,2026-09-06 00:52
-6.11387,105.39357,1.33,305.55,2026-09-06 00:52
-6.10988,105.40034,1.53,322.09,2026-09-06 00:52
-6.11005,105.4305,2.53,311.81,2026-09-06 00:52
-6.1104,105.40327,1.76,321.98,2026-09-06 00:52
-6.11061,105.42924,2.01,312.94,2026-09-06 00:52
-6.11092,105.4062,1.76,321.83,2026-09-06 00:52
-6.11057,105.43343,1.1,306.79,2026-09-06 00:52
-6.11144,105.40913,1.97,322.65,2026-09-06 00:52
-6.11196,105.41206,1.97,323.89,2026-09-06 00:52
-6.11248,105.41499,1.97,325.35,2026-09-06 00:52
-6.11301,105.41793,1.97,324.24,2026-09-06 00:52
-6.11111,105.43216,2.01,307.38,2026-09-06 00:52
-6.10953,105.42758,2.53,321.3,2026-09-06 00:52
-6.10225,105.43648,1.88,310.78,2026-09-06 01:36
-6.1061,105.4359,2.34,314.78,2026-09-06 01:36
-6.10295,105.44126,1.63,307.83,2026-09-06 01:36
-6.10365,105.44606,1.63,304.01,2026-09-06 01:36
-6.10538,105.43095,2.34,312.99,2026-09-06 01:36
-6.1145,105.43953,4.86,305.87,2026-09-06 01:36
-6.1075,105.44548,1.6,306.05,2026-09-06 01:36
-6.10995,105.43532,2.34,312.9,2026-09-06 01:36
-6.11065,105.4401,1.6,308.5,2026-09-06 01:36
